taxon	min_age	max_age
R145_1__Palmapollenites_microperforatus	9	10
R145_2__Psilamonocolpites_rinconii	9	10
R146__Palmapollenites_iriartoides	11	12
R147__Retimonocolpites_heteroretifossulatus	19	20
R148_149__Sclerosperma_protomannii_S_protoprofizianum	27	28
R150__Sclerosperma_sp	5.333	11.63
R152__Dicolpopollis_bungonensis	33.9	56
R153__Dicolpopollis_sp	47.8	56
R154__Dicolpopollis_sp	53.6	56
R155__Dicolpopollis_malesianus	66	72.1
R160__Dicolpopollis_spp	56	66
R161__Dicolpopollis_spp	5.333	23.03
R162__Dicolpopollis_spp	23.03	33.9
R163__Dicolpopollis_spp	33.9	56
R164__Dicolpopollis_spp	47.8	56
R165__Dicolpopollis_spp	5.333	23.03
R166__Dicolpopollis_spp	23.03	33.9
R167__Dicolpopollis_spp	11.63	23.03
R168__Dicolpopollis_spp	15.98	23.03
R169__Dicolpopollis_spp	33.9	56
R170__Dicolpopollis_spp	56	63
R173__Calamus_deeratus_C_sp	2.58	5.333
R174__Dicolpopollis_spp_Calamus_spp	56	66
R175__Dicolpopollis_spp_Calamus_spp	56	63
R176__Dicolpopollis_spp_Calamus_spp	56	66
R177__Dicolpopollis_spp	56	66
R178__Dicolpopollis_spp_Calamus_spp	56	66
R179__Dicolopollis_verrucatus	23.03	33.9
R180__Paravuripollis_mulleri	5.333	23.03
R181__Paravuripollis_mulleri	23.03	33.9
R182__Acanthodiporites_spinatus	54	56
R183_1__Dicolpopollis_spp_D_cenomanicus	93.9	100.5
R183_2__Dicolpopollis_novaguineensis	93.9	100.5
R184_186__Dicolpopollis_metroxylonoides	5.333	11.63
R185__Dicolpopollis_metroxylonoides	5.333	23.03
R187__Dicolpopollis_malesianus	11.63	23.03
R190__Quilonipollenites_spp_Q_reticulatus	33.9	56
R191__Quilonipollenites_sahnii	5.333	23.03
R192__Quilonipollenites_reticulatus	54	63
R193__Quilonipollenites_spp_Q_reticulatus	11.63	23.03
R194__Quilonipollenites_spp_Q_reticulatus	15.98	23.03
R195__Longapertites_spp	66	72.1
R196__Longapertites_spp	33.9	56
R197__Longapertites_spp_Quilonipollenites_spp	56	66
R198__Quilonipollenites_spp_Eugeissona_spp_Longapertites_spp	33.9	56
R199__Longapertites_spp	56	66
R200__Longapertites_spp	5.333	23.03
R201__Longapertites_vaneendenburgi	56	66
R202__Longapertites_spp	56	66
R203__Longapertites_spp	33.9	56
R205__Eremospatha_chilgaensis	27	28
R206__Mauritiidites_crassibaculatus_M_crassiexinus_M_spp	66	83.6
R207__Grimsdalea_spp_Mauritiidites_crassibaculatus_M_lehmanii_M_crassiexinus_M_franciscoi	66	72.1
R210__Echimonocolpites_panamensis	9	10
R211__Mauritiidites_spp	56	66
R212__Mauritiidites_sp	37.71	66
R213__Mauritiidites_franciscoi_var_franciscoi	10	11
R214__Mauritiidites_spp_M_crassibaculatus_M_fransicoi_var_minutus 	56	63
R215__Mauritiidites_sp	33.9	56
R216__Mauritiidites_franciscoi	33.9	56
R217__Mauritiidites_crassiexinus	37.71	56
R220__Mauritia_spp	0.0117	2.58
R221__Mauritia_spp	2.58	23.03
R222__Palmapollenites_phytelephensis	9	10
R263__Hyphaeneocarpon_indicum	64	67
R264__Hyphaene_kappelmanii	27	28
R266__Arengapollenites_achinatus	56	66
R267__Arengapollenites_gracilis	23.03	33.9
R269__Longapertites_foveolatus	19	20
R270__Retimonocolpites_palmatus	10	11
R271__Phoenicites_occidentalis	27.82	37.71
R272__Phoenix_hercynica	37.71	47.8
R273__Phoenix_sp	0.0117	2.58
R274_1__Sabal_bigbendense	72.1	83.6
R275__Sabal_bracknellense	37.71	47.8
R277__Coryphoides_poulseni	62	64
R278__Cf_Chamaerops_humilis	0.0117	2.58
R279__Palmoxylon_homeochamaerops	15.98	23.03
R281__Cf_Nypa_sp	15.98	33.9
R282__Nipadites_sp	47.8	56
R283__Nypa_pernambucensis	56	66
R284__Nypa_burtini	61.6	66
R285__Nypa_burtini	33.9	56
R288__Nypa_sp	64	67
R289_1__Nypa_sp	47.8	56
R289_2__Nypa_sp	37.71	47.8
R290__Nypa_burtini	33.9	56
R291__Nypa_sp	33.9	56
R292__Nypa_sp	56	61.6
R293__Nipadites_borneensis	33.9	56
R295__Spinizonocolpites_spp	72.1	83.6
R296__Spinizonocolpites_spp_Nypa_sp	66	83.6
R297__Spinizonocolpites_spp_Nypa_sp	66	89.8
R298__Spinizonocolpites_spp_Nypa_sp	66	89.8
R299__Spinizonocolpites_spp_Nypa_sp	56	66
R300__Spinizonocolpites_spp	66	72.1
R301__Spinizonocolpites_spp	56	66
R302__Spinizonocolpites_echinatus_S_baculatus	37.71	47.8
R304__Racemonocolpites_hians	33.9	37.71
R306__Mauritiella_sp	0.0117	2.58
R312__Grimsdalea_magnaclavata_G_sp	5.333	23.03
R313__Grimsdalea_magnaclavata	5.333	23.03
R314__Mauritiella_sp	0.0117	2.58
